Date,Name,Year,Letterboxd URI,Rating
2023-10-15,Fresh,2022,https://boxd.it/tCNi,3.5
2023-10-15,Totally Killer,2023,https://boxd.it/AOpG,4
2023-10-17,Margin Call,2011,https://boxd.it/CJ8,4
2023-10-17,Love at First Sight,2023,https://boxd.it/bUmS,4
2023-10-18,Sisters,1972,https://boxd.it/1AMc,4
2023-10-18,The Uninvited,2009,https://boxd.it/1OrW,3
2023-10-18,Dicks: The Musical,2023,https://boxd.it/zslg,4
2023-10-18,The Lair of the White Worm,1988,https://boxd.it/1U4u,3
2023-10-19,Dr. Caligari,1989,https://boxd.it/1cbG,2.5
2023-10-20,Vampires,1998,https://boxd.it/1XsY,3
2023-10-21,Death Note,2017,https://boxd.it/bOS4,3
2023-10-21,Monstrous,2022,https://boxd.it/uz84,3
2023-10-21,When a Stranger Calls,1979,https://boxd.it/OhK,2.5
2023-10-21,Strange Days,1995,https://boxd.it/2aGO,3.5
2023-10-21,When a Stranger Calls Back,1993,https://boxd.it/1l5i,3
2023-10-22,Promising Young Woman,2020,https://boxd.it/loRE,5
2023-10-22,Source Code,2011,https://boxd.it/fdo,3
2023-10-22,What If,2013,https://boxd.it/6ljk,4
2023-10-22,I Care a Lot,2020,https://boxd.it/mcHk,3.5
2023-10-23,Pledge,2018,https://boxd.it/jhak,2
2023-10-23,Still/Born,2017,https://boxd.it/feu4,3
2023-10-24,The Lost Boys,1987,https://boxd.it/28DI,3.5
2023-10-24,Bug,2006,https://boxd.it/1RN2,4
2023-10-25,Drag Me to Hell,2009,https://boxd.it/1Jzw,4
2023-10-25,The Offering,2022,https://boxd.it/A5Em,2
2023-10-25,Abandoned,2022,https://boxd.it/xeWe,2
2023-10-26,Beetlejuice,1988,https://boxd.it/24QI,4
2023-10-27,Shredder Orpheus,1990,https://boxd.it/4OSa,3
2023-10-30,Sister Death,2023,https://boxd.it/A4Bc,2.5
2023-10-30,Five Nights at Freddy's,2023,https://boxd.it/ikHu,2.5
2023-10-31,Cobweb,2023,https://boxd.it/qywG,2.5
2023-10-31,The Empty Man,2020,https://boxd.it/iIWS,3
2023-11-01,You Are Not My Mother,2021,https://boxd.it/sYCO,3
2023-11-02,The Firm,1993,https://boxd.it/18JY,4
2023-11-03,Long Shot,2019,https://boxd.it/grG0,4
2023-11-03,Role Models,2008,https://boxd.it/1MmK,3
2023-11-04,Get Him to the Greek,2010,https://boxd.it/1gyk,5
2023-11-04,Sex Tape,2014,https://boxd.it/6FRG,3
2023-11-04,Don't Worry Darling,2022,https://boxd.it/mViu,3
2023-11-05,The Change-Up,2011,https://boxd.it/FRu,3
2023-11-05,Lucy,2014,https://boxd.it/75hu,2.5
2023-11-05,Ava,2020,https://boxd.it/jFH8,2.5
2023-11-05,Whiplash,2014,https://boxd.it/7bQA,4
2023-11-05,The Mummy,2017,https://boxd.it/8HnW,2
2023-11-05,Downsizing,2017,https://boxd.it/9Ajq,5
2023-11-06,13 Going on 30,2004,https://boxd.it/1X6e,5
2023-11-06,Ted,2012,https://boxd.it/2pgc,3.5
2023-11-06,Ted 2,2015,https://boxd.it/6oCY,3
2023-11-07,Killers of the Flower Moon,2023,https://boxd.it/gHp0,5
2023-11-08,M3GAN,2022,https://boxd.it/jxmG,3.5
2023-11-10,"Red, White & Royal Blue",2023,https://boxd.it/z3iG,2.5
2023-11-10,The Nice Guys,2016,https://boxd.it/94Hg,3
2023-11-10,Strays,2023,https://boxd.it/ynGQ,2.5
